"","lat","lon","size","color","price"
"1",37.7541839478958,-122.406513787399,11,100,1.38916608436453
"2",37.7541662069407,-122.421533611239,11,96,1.74036268949424
"3",37.7585058419877,-122.406152346156,11,90,2
"4",37.7565487531911,-122.422025122724,11,100,1.4661258704182
"5",37.7600505516261,-122.421352441866,11,94.5286250939144,2.30102999566398
"6",37.7594948751741,-122.424873699839,6,96,2.20951501454263
"7",37.7609968697834,-122.413123707434,10,89,1.75966784468963
"8",37.7505428225083,-122.416558542385,9,100,1.93701610746481
"9",37.7562881782509,-122.408737659274,11,94.5286250939144,2.17609125905568
"10",37.7572464171453,-122.409314714462,9,92,1.79588001734408
"11",37.7493293498314,-122.410792464396,11,93,1.69897000433602
"12",37.7513531028752,-122.417658840054,5,92,1.67440181284528
"13",37.7519924629762,-122.40421045324,8,98,1.81291335664286
"14",37.7614293326231,-122.419350050715,11,94.5286250939144,1.65321251377534
"15",37.7665207881954,-122.424660089241,9,94,1.97772360528885
"16",37.7599551383521,-122.424106418145,10,91,1.73373211059523
"17",37.7587016652321,-122.421240030519,7,95,1.59842570667287
"18",37.7614794862389,-122.415713531885,11,100,1.82607480270083
"19",37.759390663401,-122.421167357534,9,100,1.91204482964487
"20",37.749617823996,-122.41813141974,1,100,1.84509804001426
"21",37.7595858136478,-122.410001096834,11,94,1.96614173273903
"22",37.7556055052503,-122.406719299263,11,94.5286250939144,2.26324143477458
"23",37.7505212959932,-122.407356781088,9,97,1.75204844781944
"24",37.7683274278557,-122.425057070718,3,94.5286250939144,1.75966784468963
"25",37.7688871916749,-122.424059879163,11,96,1.88930170250631
"26",37.7513430565728,-122.422650062832,11,94.5286250939144,1.65321251377534
"27",37.7550695513717,-122.416817099241,1,98,1.92685670894969
"28",37.7622064984777,-122.419895404177,11,100,2.26951294421792
"29",37.7538520014652,-122.411157660431,11,100,1.5854607295085
"30",37.7625189304309,-122.424284587258,8,98,1.79588001734408
"31",37.7653100668885,-122.424690524703,11,96,1.89394660755207
"32",37.7636266598791,-122.425385341567,11,80,1.60205999132796
"33",37.7681406043491,-122.425367564593,11,100,1.77815125038364
"34",37.7586676485157,-122.423879972897,11,100,1.82390874094432
"35",37.7614820537443,-122.409253923051,9,95,2
"36",37.7539960890293,-122.417706321436,8,93,1.79588001734408
"37",37.7532843302146,-122.41185789808,11,94.5286250939144,1.60205999132796
"38",37.7502826091409,-122.41561941732,11,94.5286250939144,1.79588001734408
"39",37.7581318164967,-122.414117745547,11,100,1.59659709562646
"40",37.7575449734956,-122.420125219577,11,96,1.75966784468963
"41",37.7624960481494,-122.422602957567,11,95,1.98151659430599
"42",37.7580424029587,-122.421101063836,11,97,1.81291335664286
"43",37.7578835949444,-122.407530547883,11,94.5286250939144,2.30102999566398
"44",37.7545644147742,-122.412526387601,11,94.5286250939144,1.70757017609794
