"","lat","lon","price","cost","rev"
"1",37.7541839478958,-122.406513787399,30,24.5,1470
"2",37.7541662069407,-122.421533611239,30,55,6600
"3",37.7585058419877,-122.406152346156,30,100,3000
"4",37.7565487531911,-122.422025122724,30,29.25,3510
"5",37.7600505516261,-122.421352441866,30,200,6000
"6",37.7594948751741,-122.424873699839,13,162,2106
"7",37.7609968697834,-122.413123707434,26,57.5,5980
"8",37.7505428225083,-122.416558542385,24,86.5,4152
"9",37.7562881782509,-122.408737659274,30,150,18000
"10",37.7572464171453,-122.409314714462,22,62.5,5500
"11",37.7493293498314,-122.410792464396,30,50,9000
"12",37.7513531028752,-122.417658840054,10,47.25,1890
"13",37.7519924629762,-122.40421045324,19,65,2470
"14",37.7614293326231,-122.419350050715,30,45,2700
"15",37.7665207881954,-122.424660089241,24,95,2280
"16",37.7599551383521,-122.424106418145,26,54.1666666666667,8450
"17",37.7587016652321,-122.421240030519,18,39.6666666666667,2142
"18",37.7614794862389,-122.415713531885,30,67,4020
"19",37.759390663401,-122.421167357534,22,81.6666666666667,10780
"20",37.749617823996,-122.41813141974,0,70,0
"21",37.7595858136478,-122.410001096834,30,92.5,5550
"22",37.7556055052503,-122.406719299263,30,183.333333333333,16500
"23",37.7505212959932,-122.407356781088,23,56.5,2599
"24",37.7683274278557,-122.425057070718,6,57.5,690
"25",37.7688871916749,-122.424059879163,30,77.5,4650
"26",37.7513430565728,-122.422650062832,30,45,1350
"27",37.7550695513717,-122.416817099241,0,84.5,0
"28",37.7622064984777,-122.419895404177,30,186,5580
"29",37.7538520014652,-122.411157660431,30,38.5,2310
"30",37.7625189304309,-122.424284587258,21,62.5,5250
"31",37.7653100668885,-122.424690524703,30,78.3333333333333,7050
"32",37.7636266598791,-122.425385341567,30,40,2400
"33",37.7681406043491,-122.425367564593,30,60,9000
"34",37.7586676485157,-122.423879972897,28,66.6666666666667,5600
"35",37.7614820537443,-122.409253923051,22,100,4400
"36",37.7539960890293,-122.417706321436,20,62.5,2500
"37",37.7532843302146,-122.41185789808,30,40,1200
"38",37.7502826091409,-122.41561941732,30,62.5,15000
"39",37.7581318164967,-122.414117745547,30,39.5,2370
"40",37.7575449734956,-122.420125219577,30,57.5,3450
"41",37.7624960481494,-122.422602957567,29,95.8333333333333,16675
"42",37.7580424029587,-122.421101063836,30,65,1950
"43",37.7578835949444,-122.407530547883,30,200,60000
"44",37.7545644147742,-122.412526387601,30,51,1530
"45",37.7523975447299,-122.424480400143,19,79.5,3021
"46",37.7691100075438,-122.411934461526,30,60,3600
"47",37.7686234449292,-122.424436555287,29,50,2900
"48",37.760662031471,-122.42082676881,30,25,1500
"49",37.7582601766681,-122.408330401105,30,40,2400
"50",37.7559613584661,-122.409530157068,30,75,2250
"51",37.7594233617679,-122.407542379533,30,77.5,4650
"52",37.7599323138747,-122.421366691908,30,62.5,7500
"53",37.7702119483518,-122.422898649969,30,27.5,1650
"54",37.7506568505429,-122.423491840644,30,75,13500
"55",37.7494492191047,-122.409555555823,30,41.6666666666667,7500
"56",37.7537510905048,-122.425201090792,30,37.5,4500
"57",37.756415424257,-122.412851265961,16,75,4800
"58",37.7677224880953,-122.422152040697,30,85,5100
"59",37.7515148522593,-122.424501798889,27,63.3333333333333,5130
"60",37.7544005343585,-122.412507010866,22,76.6666666666667,5060
"61",37.75309746815,-122.419967902774,29,57.5,3335
"62",37.7578040498004,-122.421443445986,30,95,2850
"63",37.7497023478603,-122.406637468612,29,45,2610
"64",37.7664574481774,-122.425354294335,21,95,1995
"65",37.7508976163447,-122.414813640456,30,175,10500
"66",37.7511086469613,-122.418732256937,30,130,3900
"67",37.755262578068,-122.424966422179,3,2000,12000
"68",37.7569178887213,-122.411164363543,0,116.333333333333,0
"69",37.7609671542216,-122.423130457776,20,57.5,2300
"70",37.7584937113412,-122.415799868382,13,56.6666666666667,2210
"71",37.7482540379814,-122.417681591344,8,57.5,920
"72",37.7526780839935,-122.407532934001,20,44.3333333333333,2660
"73",37.7645572063569,-122.423980142432,30,116,6960
"74",37.7515880024846,-122.418769528445,30,50,3000
"75",37.756184176195,-122.421447037216,30,100,6000
"76",37.7569887021344,-122.408563771049,2,112.5,900
"77",37.7631358705888,-122.407965371184,30,40,2400
"78",37.7490740504218,-122.412401636995,30,99,2970
"79",37.7508354741943,-122.423411400704,29,72.5,4205
"80",37.7585782201791,-122.422235111698,30,107.5,6450
"81",37.7591334594544,-122.419675529858,30,92.5,5550
"82",37.7574679305306,-122.412594739113,1,350,350
"83",37.7617188666295,-122.423483073356,18,87.5,3150
"84",37.768671943382,-122.417857647871,30,41.25,4950
"85",37.7637954837298,-122.425447951812,30,74.5,4470
"86",37.7701733343795,-122.421571581084,30,120,7200
"87",37.7602525142717,-122.416630660179,23,103,4738
"88",37.751040871804,-122.418665806699,30,52.2727272727273,17250
"89",37.7676452814543,-122.423950489866,6,120,720
"90",37.7512269444878,-122.418375759158,30,37,2220
"91",37.7666753776979,-122.417032486089,19,52.5,1995
"92",37.7605444568618,-122.421675982872,20,29.5,1180
"93",37.7511016111556,-122.42414324141,0,75,0
"94",37.7604587608279,-122.419043808644,29,74.5,4321
"95",37.7531161475904,-122.408631485419,30,100,3000
"96",37.7573107828804,-122.409537266671,30,37.5,2250
"97",37.7517432383157,-122.416252593413,0,149.5,0
"98",37.7677771406983,-122.42433816649,25,68,1700
"99",37.7612134121285,-122.408690732819,24,49.5,2376
"100",37.7529717680513,-122.41280584277,0,52.75,0
"101",37.7583381282235,-122.422912783212,27,62.5,3375
"102",37.7604032865516,-122.415500974208,30,42.5,2550
"103",37.757539546279,-122.410612806972,6,32.3333333333333,582
"104",37.7527174181433,-122.409340052575,27,58.5,3159
"105",37.760593626586,-122.418553220107,30,166.666666666667,15000
"106",37.7485114355793,-122.417233063734,30,65,1950
"107",37.7584227794837,-122.411959791624,16,79.5,5088
"108",37.759964824157,-122.417939372946,30,150,4500
"109",37.7640319294228,-122.42482252301,30,75,2250
"110",37.7496466322602,-122.417552553538,30,25,3000
